date_utc,covered_hours,viewer_requests,api_requests,http_4xx,http_5xx,http_5xx_percent,client_disconnect_000
2026-08-23,4.104167,1713,1098,125,0,0.000000,18
2026-08-24,24.000000,9715,7370,762,14,0.189959,80
2026-08-25,24.000000,10424,7652,712,12,0.156822,50
2026-08-26,24.000000,10887,7504,800,19,0.253198,86
2026-08-27,24.000000,10843,8064,938,8,0.099206,60
2026-08-28,24.000000,11978,8543,1088,13,0.152171,59
2026-08-29,24.000000,10431,8124,883,19,0.233875,71
2026-08-30,24.000000,11677,9231,1155,5,0.054165,68
2026-08-31,24.000000,11027,8590,969,2,0.023283,66
2026-09-01,24.000000,10158,8675,918,31,0.357349,65
2026-09-02,24.000000,8144,7597,700,28,0.368567,79
2026-09-03,24.000000,8783,7639,563,41,0.536719,115
2026-09-04,24.000000,8044,7160,519,27,0.377095,118
2026-09-05,24.000000,7621,6832,437,0,0.000000,98
2026-09-06,24.000000,7413,6508,467,2,0.030731,88
2026-09-07,24.000000,6803,6275,411,0,0.000000,98
2026-09-08,24.000000,7772,7034,496,6,0.085300,71
2026-09-09,24.000000,10560,6729,503,20,0.297221,86
2026-09-10,24.000000,7187,6138,516,3,0.048876,74
2026-09-11,24.000000,6314,5907,388,7,0.118503,58
2026-09-12,24.000000,7277,6071,438,14,0.230605,54
2026-09-13,24.000000,6917,6272,530,8,0.127551,38
2026-09-14,24.000000,10039,6168,449,4,0.064851,53
2026-09-15,24.000000,6551,6163,409,9,0.146033,63
2026-09-16,24.000000,12814,12409,311,1918,15.456523,1428
2026-09-17,24.000000,8079,7562,0,2409,31.856652,35
2026-09-18,24.000000,7898,7286,0,3712,50.947022,25
2026-09-19,24.000000,6755,6459,0,6201,96.005574,18
2026-09-20,24.000000,7449,7077,228,3571,50.459234,52
2026-09-21,24.000000,8039,7216,378,10,0.138581,67
2026-09-22,19.895833,5568,5230,245,10,0.191205,57
