method,path,requests,http_4xx,http_5xx,client_disconnect_000,apple_like,android_like,other_user_agents,cache_hit,cache_refresh_hit,cache_miss,cache_error,first_utc,last_utc,status_counts
GET,/weather/coord/{location},155998,0,10736,3270,112349,38069,5580,31288,9583,101119,14008,2026-08-23T19:54:37Z,2026-09-22T19:53:32Z,"000: 3,270; 200: 141,992; 500: 1,544; 501: 9,192"
GET,/weather/v000903/coord/{location},39254,0,5028,112,17162,22092,0,1856,1142,31116,5140,2026-08-23T19:54:06Z,2026-09-22T19:50:42Z,"000: 112; 200: 34,114; 501: 5,028"
PUT,/v000902/push,18872,16337,1834,7,7942,10930,0,0,0,694,18178,2026-08-23T19:54:06Z,2026-09-22T19:51:03Z,"000: 7; 200: 694; 403: 16,337; 502: 1,834"
POST,/v000902/push-list,2525,1,209,2,250,2275,0,0,0,2313,212,2026-08-23T19:59:39Z,2026-09-22T18:48:16Z,"000: 2; 200: 2,313; 408: 1; 502: 209"
GET,/v000901/kma/addr/{location},1853,0,172,6,454,1399,0,4,345,1326,178,2026-08-23T20:19:05Z,2026-09-22T19:27:13Z,"000: 6; 200: 1,461; 304: 214; 502: 172"
GET,/v000903/kma/addr/{location},1320,0,0,0,0,0,1320,0,30,1290,0,2026-08-24T06:40:07Z,2026-09-22T13:54:02Z,"200: 1,320"
GET,/geocode/v000903/coord/{location},209,0,4,1,119,90,0,37,0,167,5,2026-08-23T20:48:16Z,2026-09-22T18:48:38Z,000: 1; 200: 204; 501: 4
GET,/v000803/town/{location},205,0,44,0,29,176,0,15,6,140,44,2026-08-23T20:55:26Z,2026-09-22T13:28:46Z,200: 146; 304: 15; 502: 44
GET,/v000903/nation/KR,139,0,12,0,80,59,0,39,2,86,12,2026-08-24T06:40:08Z,2026-09-22T13:54:02Z,200: 102; 304: 25; 502: 12
GET,/weather/v000901/coord/{location},51,0,45,0,0,51,0,0,0,6,45,2026-08-23T23:03:00Z,2026-09-22T02:26:58Z,200: 6; 501: 45
GET,/weather/v000902/coord/{location},47,0,6,0,0,47,0,0,0,41,6,2026-08-23T21:23:28Z,2026-09-21T02:38:11Z,200: 41; 501: 6
GET,/geocode/v000903/addr/{location},39,0,11,0,30,9,0,0,0,28,11,2026-08-24T06:40:41Z,2026-09-19T13:38:51Z,200: 28; 501: 1; 502: 10
GET,/v000903/kma/special,36,0,7,0,20,16,0,1,13,15,7,2026-08-26T02:44:22Z,2026-09-22T12:07:55Z,200: 27; 304: 2; 502: 7
GET,/v000705/town/{location},12,0,1,0,0,12,0,4,0,7,1,2026-08-24T01:39:33Z,2026-09-18T10:46:21Z,200: 11; 502: 1
POST,/v000705/push,12,0,12,0,0,12,0,0,0,0,12,2026-08-24T01:10:15Z,2026-09-16T10:36:25Z,500: 12
OPTIONS,/v000902/push,7,0,1,0,7,0,0,0,0,6,1,2026-08-24T22:06:08Z,2026-09-20T21:53:17Z,204: 6; 502: 1
DELETE,/v000902/push,2,0,0,0,2,0,0,0,0,2,0,2026-09-11T14:15:47Z,2026-09-22T18:23:41Z,200: 2
GET,/geocode/v000901/addr/{location},1,0,0,0,0,1,0,0,0,1,0,2026-09-18T11:44:22Z,2026-09-18T11:44:22Z,200: 1
GET,/v000901/nation/KR,1,0,1,0,0,1,0,0,0,0,1,2026-09-18T11:42:02Z,2026-09-18T11:42:02Z,502: 1
