update  time
시,군,구,위도,경도,지점코드 //base.csv와 좌표값이 안 맞음.
서울특별시,,,37.5636,126.98,1100000000
서울특별시,종로구,,37.5808,126.9899,1111000000
서울특별시,종로구,청운효자동,37.5808,126.9899,1111051500
서울특별시,종로구,사직동,37.5808,126.9899,1111053000
서울특별시,종로구,삼청동,37.5808,126.9899,1111054000
서울특별시,종로구,부암동,37.5808,126.9899,1111055000
서울특별시,종로구,평창동,37.5808,126.9899,1111056000
서울특별시,종로구,무악동,37.5808,126.9899,1111057000
서울특별시,종로구,교남동,37.5808,126.9899,1111058000
서울특별시,종로구,가회동,37.5808,126.9899,1111060000
서울특별시,종로구,종로1.2.3.4가동,37.5808,126.9899,1111061500
서울특별시,종로구,종로5.6가동,37.5808,126.9899,1111063000
서울특별시,종로구,이화동,37.5808,126.9899,1111064000
서울특별시,종로구,혜화동,37.5808,126.9899,1111065000
서울특별시,종로구,창신제1동,37.5808,126.9899,1111067000
서울특별시,종로구,창신제2동,37.5808,126.9899,1111068000
서울특별시,종로구,창신제3동,37.5808,126.9899,1111069000
서울특별시,종로구,숭인제1동,37.5808,126.9899,1111070000
서울특별시,종로구,숭인제2동,37.5802,127.0481,1111071000
서울특별시,중구,,37.5808,126.9899,1114000000
서울특별시,중구,소공동,37.5808,126.9899,1114052000
서울특별시,중구,회현동,37.5347,126.9892,1114054000
서울특별시,중구,명동,37.5347,126.9892,1114055000
서울특별시,중구,필동,37.5808,126.9899,1114057000
서울특별시,중구,장충동,37.5808,126.9899,1114058000
서울특별시,중구,광희동,37.5808,126.9899,1114059000
서울특별시,중구,을지로동,37.5808,126.9899,1114060500
서울특별시,중구,신당제5동,37.5802,127.0481,1114065000
서울특별시,중구,황학동,37.5802,127.0481,1114067000
서울특별시,중구,중림동,37.5347,126.9892,1114068000
서울특별시,용산구,,37.5347,126.9892,1117000000
서울특별시,용산구,후암동,37.5347,126.9892,1117051000
서울특별시,용산구,용산2가동,37.5347,126.9892,1117052000
서울특별시,용산구,남영동,37.5347,126.9892,1117053000
서울특별시,용산구,청파동,37.5347,126.9892,1117055500
서울특별시,용산구,원효로제1동,37.5347,126.9892,1117056000
서울특별시,용산구,원효로제2동,37.5352,126.931,1117057000
서울특별시,용산구,효창동,37.5347,126.9892,1117058000
서울특별시,용산구,용문동,37.5352,126.931,1117059000
