대분류,중분류,소분류,위도,경도,지점코드 //TodayWeather에서는 http routing때문에 /를 사용할수없음.
강원도,,,37.8826917,127.7319750,4200000000
강원도,강릉시,,37.7491361,128.8784972,4215000000
강원도,강릉시,강남동,37.7442100,128.9056120,4215061500
강원도,강릉시,강동면,37.7254000,128.9565111,4215034000
강원도,강릉시,경포동,37.7810111,128.8828889,4215066500
강원도,강릉시,교1동,37.7616944,128.8803083,4215055000
강원도,강릉시,교2동,37.7599306,128.9020000,4215056000
강원도,강릉시,교동,37.7655714,128.8744760,4215055000
강원도,강릉시,구정면,37.7155333,128.8823861,4215033000
강원도,강릉시,내곡동,37.7361944,128.8832528,4215060000
강원도,강릉시,노암동,37.7451968,128.9004175,4215061500
강원도,강릉시,사천면,37.8207583,128.8510861,4215036000
강원도,강릉시,성덕동,37.7606444,128.9159444,4215064500
강원도,강릉시,성산면,37.7159222,128.8344333,4215031000
강원도,강릉시,송정동,37.7717306,128.9298111,4215059000
강원도,강릉시,연곡면,37.8574306,128.8391972,4215037000
강원도,강릉시,옥계면,37.6098806,129.0402528,4215035000
강원도,강릉시,옥천동,37.7573278,128.9053667,4215054000
강원도,강릉시,왕산면,37.6698556,128.8402194,4215032000
강원도,강릉시,주문진읍,37.8897944,128.8293111,4215025000
강원도,강릉시,중앙동,37.7518944,128.8973000,4215052000
강원도,강릉시,초당동,37.7891028,128.9182333,4215058000
강원도,강릉시,포남1동,37.7651306,128.9105778,4215057100
강원도,강릉시,포남2동,37.7700194,128.9156667,4215057200
강원도,강릉시,포남동,37.7679171,128.9081528,4215057100
강원도,강릉시,홍제동,37.7455167,128.8859306,4215051000
강원도,고성군,,38.3779611,128.4701639,4282000000
강원도,고성군,간성읍,38.3755944,128.4691972,4282025000
강원도,고성군,거진읍,38.4335083,128.4547528,4282025300
강원도,고성군,수동면,38.4228861,128.2849083,4282034000
강원도,고성군,죽왕면,38.3260944,128.5278667,4282032000
강원도,고성군,토성면,38.2544750,128.5609778,4282033000
강원도,고성군,현내면,38.4916444,128.4298444,4282031000
강원도,동해시,,37.5219306,129.1166333,4217000000
강원도,동해시,동호동,37.5430472,129.1025306,4217055000
강원도,동해시,망상동,37.5551444,129.1068111,4217063000
강원도,동해시,묵호동,37.5498556,129.1175639,4217059000
강원도,동해시,발한동,37.5456389,129.1101972,4217057000
강원도,동해시,부곡동,37.5339972,129.1071972,4217054000
강원도,동해시,북삼동,37.4898639,129.1111667,4217053000
강원도,동해시,북평동,37.4809333,129.1273750,4217060000
강원도,동해시,삼화동,37.4878167,129.0706667,4217065000
강원도,동해시,송정동,37.4969111,129.1309306,4217052000
강원도,동해시,천곡동,37.5200750,129.1184444,4217051000
강원도,삼척시,,37.4470861,129.1674889,4223000000
강원도,삼척시,가곡면,37.1469139,129.2075306,4223035000
강원도,삼척시,교동,37.4451000,129.1669333,4223053000
강원도,삼척시,근덕면,37.3764361,129.2281111,4223031000
강원도,삼척시,남양동,37.4397333,129.1708083,4223051000
강원도,삼척시,노곡면,37.3449694,129.1664444,4223033000
강원도,삼척시,도계읍,37.2335528,129.0474750,4223025000
강원도,삼척시,미로면,37.4147333,129.1147861,4223034000
강원도,삼척시,성내동,37.4433333,129.1652444,4223057000
강원도,삼척시,신기면,37.3468667,129.0853889,4223036000
강원도,삼척시,원덕읍,37.1735611,129.3380111,4223025300
강원도,삼척시,정라동,37.4332306,129.1868861,4223054000
강원도,삼척시,하장면,37.3466333,128.9453083,4223032000
강원도,속초시,,38.2042750,128.5941667,4221000000
강원도,속초시,교동,38.1997861,128.5848194,4221056000
강원도,속초시,금호동,38.2041861,128.5904417,4221054000
강원도,속초시,노학동,38.1943056,128.5784639,4221057000
강원도,속초시,대포동,38.1629917,128.5592972,4221060000
강원도,속초시,동명동,38.2099778,128.5979306,4221052000
강원도,속초시,영랑동,38.2208944,128.5904750,4221051000
강원도,속초시,조양동,38.1848806,128.5932000,4221058000
강원도,속초시,청호동,38.1953056,128.5979417,4221059000
강원도,양구군,,38.1072917,127.9922444,4280000000
강원도,양구군,남면,38.1057750,128.0366889,4280031000
강원도,양구군,동면,38.1996750,128.0458000,4280032000
강원도,양구군,방산면,38.2063056,127.9517222,4280033000
강원도,양구군,양구읍,38.1052000,127.9928194,4280025000
